	0
1322	MRPL13
1323	MRPL14
1324	MRPL15
1325	MRPL17
1326	MRPL18
1327	MRPL20
1328	MRPL21
1329	MRPL22
1330	MRPL23
1331	MRPL24
1332	MRPL27
1333	MRPL3
1334	MRPL33
1335	MRPL34
1336	MRPL36
1337	MRPL37
1338	MRPL4
1339	MRPL40
1340	MRPL41
1341	MRPL43
1342	MRPL47
1343	MRPL51
1344	MRPL52
1345	MRPL54
1346	MRPL55
1347	MRPL9
1348	MRPS12
1349	MRPS15
1350	MRPS16
1351	MRPS18B
1352	MRPS18C
1353	MRPS23
1354	MRPS26
1355	MRPS33
1356	MRPS34
1357	MRPS35
1358	MRPS36
1359	MRPS5
1360	MRPS6
1361	MRPS7
1362	MRTO4
1363	MS4A4A
1364	MS4A6A
1365	MSI2
1366	MSN
1367	MT1E
1368	MT1X
1369	MT2A
1370	MTA1
1371	MTCH1
1372	MTCH2
1373	MTDH
1374	MTF2
1375	MTFR1
1376	MTHFD1L
1377	MTHFD2
1378	MTIF3
1379	MTURN
1380	MTX1
1381	MVP
1382	MX1
1383	MYADM
1384	MYBBP1A
1385	MYC
1386	MYCBP2
1387	MYH9
1388	MYL12A
1389	MYL12B
1390	MYL6
1391	MYL9
1392	MYLIP
1393	MYO1C
1394	MYO1F
1395	MZT2A
1396	MZT2B
1397	N4BP2L2
1398	NAA10
1399	NAA20
1400	NAA50
1401	NABP2
1402	NACA
1403	NACC1
1404	NAMPT
1405	NANS
1406	NAP1L1
1407	NAP1L4
1408	NAPA
1409	NARF
1410	NARS
1411	NASP
1412	NAT10
1413	NAT9
1414	NBEAL1
1415	NCAPD2
1416	NCBP2
1417	NCKAP1L
1418	NCL
1419	NCLN
1420	NCOA4
1421	NCOA7
1422	NCOR1
1423	NDFIP1
1424	NDRG1
1425	NDRG2
1426	NDUFA1
1427	NDUFA10
1428	NDUFA11
1429	NDUFA12
1430	NDUFA13
1431	NDUFA2
1432	NDUFA3
1433	NDUFA4
1434	NDUFA5
1435	NDUFA6
1436	NDUFA8
1437	NDUFAB1
1438	NDUFAF3
1439	NDUFB1
1440	NDUFB10
1441	NDUFB11
1442	NDUFB2
1443	NDUFB3
1444	NDUFB4
1445	NDUFB5
1446	NDUFB6
1447	NDUFB7
1448	NDUFB9
1449	NDUFC1
1450	NDUFC2
1451	NDUFS2
